##BLOCKS= 7          
Note:
PROTOCOL REVISION HISTORY:
v1.0.0: original protocol created (MDC)
v1.0.1: 06/30/05 - Updated, spell checked, & formatted to new style guide. (DW)
v1.0.2: 10/02/05 - Updated Reader Suitability section for v5.0 release. (DW)

READER SUITABILITY:
VMax, VersaMax
SpectraMax, Plus, Plus 384
SpectraMax 190, 340PC, 340PC 384
SpectraMax Gemini, Gemini XS, Gemini EM, Gemini XPS
SpectraMax M2, SpectraMax M5
FlexStation, II, II 384
~End
Note:
Basic Kinetic Protocol

Unfamiliar with SoftMax Pro software?
If you are new to SoftMax Pro software, we strongly recommended spending time familiarizing yourself with the powerful features by completing at least one of the tutorials located in the Tutorials folder.

Use this protocol as the starting point for kinetic assays that have unknowns that will have concentrations interpolated from a standard curve.  Modify the instrument setup for your assay.  You may add more groups of unknowns, controls, or standards to the template to fit your assay.
~End
Plate:	Plate01	1.3	TimeFormat	Kinetic	Fluorescence	TRUE	Raw	FALSE	501	7500	15				1	407	1	12	96	364	Automatic	None			12	Automatic			1	1	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
8:30	22.30	1443.861	1415.307	1512.072	1673.789	1456.982	1385.175	1601.876	1766.341	1768.904	2590.901	3245.119	617.606																																																																																					
8:45	22.30	1457.191	1445.456	1543.915	1715.642	1500.409	1405.932	1622.84	1799.444	1778.735	2623.896	3286.647	639.509																																																																																					
9:00	22.30	1494.599	1483.466	1568.123	1730.331	1523.577	1435.643	1659.391	1826.745	1821.66	2635.963	3291.107	620.866																																																																																					
9:15	22.30	1524.627	1499.071	1596.109	1762.455	1549.87	1459.464	1683.827	1850.845	1844.035	2643.096	3306.381	637.768																																																																																					
9:30	22.30	1552.716	1531.541	1634.118	1799.963	1585.74	1494.712	1710.614	1874.871	1864.023	2670.494	3311.78	616.343																																																																																					
9:45	22.30	1577.054	1555.928	1658.603	1822.264	1608.495	1519.436	1733.148	1899.757	1900.575	2683.125	3331.03	632.551																																																																																					
10:00	22.30	1601.188	1589.569	1678.929	1857.144	1634.682	1543.357	1756.087	1933.347	1927.421	2714.51	3330.124	620.73																																																																																					
10:15	22.30	1629.983	1619.815	1708.727	1882.776	1670.235	1572.099	1783.72	1956.922	1944.335	2740.196	3359.777	632.238																																																																																					
10:30	22.30	1654.283	1630.865	1738.544	1896.335	1692.914	1595.149	1821.536	1981.461	1979.249	2762.968	3368.461	625.059																																																																																					
10:45	22.30	1683.645	1677.252	1767.883	1913.791	1715.719	1602.285	1837.217	2012.738	1988.294	2779.89	3378.677	626.413																																																																																					
11:00	22.30	1717.032	1693.388	1791.806	1940.396	1761.11	1647.072	1868.916	2024.167	2013.621	2787.606	3389.523	624.093																																																																																					
11:15	22.30	1746.33	1724.594	1817.17	1956.488	1781.019	1662.723	1879.439	2056.599	2045.033	2817.171	3394.435	614.95																																																																																					
11:30	22.30	1762.991	1748.571	1826.787	1997.534	1788.314	1693.831	1910.879	2082.266	2066.917	2827.048	3400.548	618.432																																																																																					
11:45	22.30	1780	1770.697	1856.16	2014.378	1817.004	1719.24	1934.294	2100.263	2091.835	2845.249	3405.194	620.413																																																																																					
12:00	22.30	1798.618	1805.614	1892.939	2043.216	1838.071	1751.598	1955.478	2120.521	2124.695	2866.295	3424.445	616.047																																																																																					
12:15	22.30	1837.702	1817.783	1917.04	2063.013	1870.239	1772.577	1978.975	2156.039	2131.49	2890.431	3426.528	636.232																																																																																					
12:30	22.30	1854.201	1841.132	1932.76	2078.464	1886.576	1790.191	2004.671	2172.482	2160.202	2897.928	3435.833	623.797																																																																																					
12:45	22.30	1875.583	1869.598	1941.035	2103.006	1910.425	1814.696	2029.897	2194.073	2174.672	2910.892	3454.298	627.2																																																																																					
