17
1269		1289		1187		1087		1132		708		245		354		343		332		391		305		319		341		275		247		1501	
01:LS-ElecPipTrial		02:SS		R03:LS_NewPyA		04:LS_NewerPyA		05:SS		21:LS+C		22:(LS+C)+P34		23:(LS+C)+P345		24:(LS+C)+PI		25:(LS+C)+P45		26:(SS+C)		27:(SS+C)+P45		28:(SS+C)+P345		29:(SS+C)+P34		30:(SS+C)+PI		31:(SS+C)+P45		32:A	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
1	563765	1	497487	1	478226	1	477478	1	469732	1	519970	1	500170	1	493217	1	498751	1	488123	1	491791	1	493587	1	495301	1	496193	1	495288	1	492339	1	483049
6	566609	6	497476	6	480186	6	477736	6	469562	6	521712	6	503331	6	494050	6	498158	6	486914	6	492313	6	494858	6	493128	6	496834	6	495236	6	494011	6	485181
11	565682	11	497462	11	478242	11	477842	11	472144	11	520557	11	59991.6	11	495797	11	501021	11	488944	11	491840	11	493265	11	493863	11	497379	11	494082	11	492730	11	484637
16	566485	16	498453	16	477949	16	477450	16	471774	16	521141	16	60111.3	16	494889	16	499142	16	489056	16	492614	16	494667	16	494150	16	497528	16	496413	16	493755	16	484365
21	566628	21	498545	21	478835	21	477582	21	471856	21	522539	21	60778.9	21	494436	21	498405	21	490189	21	492678	21	494589	21	494671	21	498005	21	495455	21	494013	21	485220
26	568081	26	497718	26	478607	26	478173	26	471333	26	521773	26	61684.3	26	496345	26	499749	26	489201	26	491951	26	493614	26	495544	26	498361	26	496490	26	493588	26	486091
31	566428	31	497904	31	477845	31	478952	31	472788	31	521809	31	62672.7	31	496094	31	500045	31	489895	31	493273	31	493512	31	495326	31	497638	31	497479	31	495676	31	484876
36	567892	36	498011	36	479576	36	478258	36	472208	36	521974	36	63211	36	495187	36	500675	36	489723	36	493365	36	494547	36	494511	36	498307	36	39483.8	36	495406	36	32428.1
41	567321	41	499831	41	479211	41	479233	41	472086	41	521256	41	63973.8	41	495354	41	500774	41	490175	41	491607	41	494957	41	494085	41	497106	41	39204.1	41	494478	41	32397.6
46	568357	46	498521	46	479950	46	478253	46	472712	46	38577.4	46	64264.3	46	494123	46	38936.7	46	490040	46	491939	46	494983	46	495579	46	497979	46	39493	46	494459	46	32549.2
51	567769	51	63462.1	51	478750	51	478137	51	24266.6	51	40530.4	51	64572.4	51	45417	51	40121.9	51	50183.4	51	81502.4	51	496118	51	494385	51	498080	51	39437.8	51	49672.2	51	32464.8
56	38428.5	56	51767.9	56	479767	56	74549.6	56	43014.1	56	40326.2	56	65216.8	56	45467.1	56	39325.5	56	51082.8	56	50556	56	495700	56	45460	56	498785	56	39540.9	56	49678.4	56	32705.8
61	39173.4	61	64920.9	61	38095.9	61	80597.3	61	42283	61	40105.6	61	65987.6	61	46307	61	39714.5	61	52685.6	61	46306	61	495085	61	45817.4	61	498663	61	39575.6	61	49603.5	61	32536
66	39996.3	66	78523.8	66	45621.8	66	45574.7	66	42502.8	66	40168.9	66	66562	66	46590.8	66	39525.6	66	52382.4	66	45953.6	66	48372.4	66	47429.1	66	499729	66	39488.9	66	49671.2	66	32418
71	40910.4	71	51511.1	71	47478.3	71	46347	71	43447.8	71	40138.3	71	67569.4	71	46924.9	71	39856.4	71	53245.8	71	45822.5	71	50461.6	71	47968.4	71	498301	71	39943.2	71	50240.9	71	31996.9
76	41764.7	76	164289	76	48606.3	76	47036.6	76	44278.6	76	40698	76	68281	76	47255.9	76	39922.8	76	53484.3	76	43998.2	76	50736.7	76	48009.4	76	350770	76	39648.1	76	50256.3	76	31996.9
81	42594.8	81	243834	81	49319.2	81	48344.7	81	45420	81	40924.8	81	69626.3	81	47942.8	81	40066.8	81	54298.9	81	42226.7	81	51366.3	81	47847.4	81	249014	81	39877.9	81	50176.2	81	31882
86	43681	86	366559	86	49483.4	86	49225.9	86	46139	86	40314.9	86	70160.2	86	47841.3	86	39834	86	54361.6	86	40386.4	86	51799.8	86	48551.9	86	231706	86	39905.4	86	50682.3	86	31961.3
91	44294	91	559107	91	51023.2	91	50324	91	46549.8	91	40806.2	91	70660.1	91	48360.1	91	40389.5	91	54962.5	91	39131.6	91	52551.9	91	48730.4	91	200740	91	39831.9	91	50561.2	91	32197.3
96	45425.1	96	336653	96	51874.8	96	51133.1	96	47196.5	96	40751.1	96	71394.7	96	48587.8	96	40143.4	96	55682.9	96	37959.2	96	53045.3	96	48584.7	96	69352.6	96	39995.3	96	50739.8	96	32217.6
101	45815.3	101	158248	101	53023.7	101	51823.4	101	47967.4	101	40483.5	101	71983.1	101	49498.8	101	39917.7	101	55587.2	101	37502.2	101	52867.5	101	49037.1	101	58327.2	101	39999.4	101	50908.2	101	31874.9
106	46666.6	106	53146.1	106	53773.3	106	52876.7	106	48519.1	106	40847.1	106	73689.2	106	54996.4	106	40126	106	56164.8	106	37137.2	106	53290	106	49490.6	106	56558.1	106	40095.4	106	51155.7	106	32226.8
111	47584.9	111	44088.3	111	54903.8	111	54218.6	111	49385.9	111	41024.9	111	73824.3	111	55628.4	111	40278.2	111	56882.6	111	37474.7	111	53595.4	111	49657.9	111	59022.1	111	40167.9	111	51147.5	111	32075.2
116	48089.4	116	43983.9	116	55417.4	116	54531.4	116	49756.4	116	40861.4	116	74990.3	116	56194.6	116	40245.5	116	57898.4	116	37311.5	116	53854.5	116	49806.7	116	59556.3	116	40060.6	116	51428.9	116	32048.8
121	49696.9	121	44489.4	121	56730.1	121	55426.6	121	50416.4	121	40794	121	75018.4	121	56698.2	121	40049.4	121	58573.6	121	37334	121	54300.9	121	49698.9	121	59084	121	40583.6	121	51650.8	121	32002
126	50240.9	126	45058.6	126	57580	126	56409.8	126	51474.1	126	41011.6	126	76421.3	126	56754.8	126	40443.6	126	59279.9	126	37670.5	126	54269.1	126	50539.6	126	59403.7	126	40501.8	126	51841.9	126	31651.2
131	50909.3	131	46006.9	131	58526.2	131	57286.4	131	51786.4	131	41414.2	131	77469.1	131	57495.5	131	40193.4	131	59337.7	131	37708.3	131	54900.8	131	50480.1	131	59076.7	131	40191.4	131	51765.9	131	31627.8
136	52042.2	136	46412.5	136	59424.3	136	57588.3	136	52276.5	136	41338.6	136	77900.1	136	58139.6	136	40318	136	59385.1	136	37739.9	136	54711.4	136	50682.3	136	59975.1	136	40494.7	136	51855.2	136	31913.5
141	52767.8	141	46888	141	60183.5	141	58974.7	141	53316.7	141	41110.7	141	78661.3	141	59098.4	141	40553.9	141	60389.9	141	37581.8	141	55134.3	141	51250.2	141	60226.9	141	40252.6	141	52332	141	32038.6
146	53387.7	146	48020.7	146	61154.7	146	60044.2	146	53829.9	146	41254.8	146	79771.8	146	59124.2	146	39962.6	146	61466.4	146	37678.7	146	55457.5	146	51494.7	146	60414.7	146	40376.2	146	52658.8	146	31912.5
